Original Sender,Category
General Secretary Academic Affairs PG Post Graduate Programmes,GSAA PG
General Secretary Academic Affairs PG,GSAA PG
General Secretary Academic Affairs  PG,GSAA PG
gsecaapg at iitb.ac.in,GSAA PG
General Secretary Hostel Affairs,GSHA
"General Secretary, Hostel Affairs",GSHA
Abbas Ali Bohra,GSHA
Head CTARA,Head CTARA
hcu.chair at iitb.ac.in,ADean SA
Hcu.chair,ADean SA
Head BSBE,Head BSBE
Head Computer Centre,Head CC
"Head, Computer Center",Head CC
Head CDEEP,Head CDEEP
head.cdeep,Head CDEEP
Head Chemical Engg,Head Chemical
head.ctara at iitb.ac.in,Head CTARA
Head Electrical Engg,Head EE
office ee office,Head EE
Head Energy,Head Energy
Head Energy Systems,Head Energy
head.ese at iitb.ac.in,Head ESE
head.idc at iitb.ac.in,Head IDC
head.ieor at iitb.ac.in,Head IEOR
"Head, Metallurgical Engg. & Materials Sci. Engg",Head MEMS
Head Physics,Head Physics
Head SAIF,Head SAIF
Head SOM,Head SOM
head.som at iitb.ac.in,Head SOM
Insight Chief Editor,Insight Chief-Ed
insight at iitb.ac.in,Insight Chief-Ed
Librarian IIT Bombay,Librarian
librarian at iitb.ac.in,Librarian
IITB Mailing List Manager,Mailman
mailman,Mailman
Mail Admin,Mailman
Public Health Officer,PHO
Professor Incharge ASC,PIC ASC
Professor Incharge Application Software Cell,PIC ASC
"Professor-incharge, Application Software Cell",PIC ASC
pic.asc,PIC ASC
"Professor in-charge, ASC",PIC ASC
Professor Incharge CDEEP,PIC CDEEP
"Professor-In-Charge, Placement",PIC Placements
"Professor- in-charge, placements, IIT Bombay",PIC Placements
pic.placement at iitb.ac.in,PIC Placements
Professor Incharge placements,PIC Placements
Professor Incharge sine,PIC Sine
pic.sine at iitb.ac.in,PIC Sine
Professor Incharge TCTD,PIC TCTD
PRO IIT Bombay,PRO
PRO,PRO
Public Relation Office,PRO
Registrar IIT Bombay,Registrar
registrar at iitb.ac.in,Registrar
Registrar Office,Registrar
Security Officer,CSO
Shubham Goyal,GSAA
Prof. Anindya Datta,ADean SA
Jaya Joshi,PRO
Prof. D Manjunath,Head CC
Abhay Karandikar,Head CC
Shiva Prasad,Dean AP
Anindya Datta,ADean SA
Devang Khakhar,Director
Raghava Varma,Head Physics
Dr Jyoti Prasad Maharana Maharana,Other
Middle Layer Committee,Other
Ninad,Other
Sunil Vichare,Other
Systems Manager,Other
"Anindya Datta,",ADean SA
Krithi Ramamritham,Other
Ninad N. Shaha,Other
145280028,Other
ajaymittal at iitb.ac.in,Other
Ajit K Jena,Other
anand kusre,Other
Chandrakant Pandey,Other
cshnath at iitb.ac.in,Other
head.crnts at iitb.ac.in,Other
Jyoti Prasad Maharana  ज्योति प,Other
Kannan Moudgalya,Other
malariasurvey at math.iitb.ac.in,Other
Pradip,Other
Pradip Tirmare,Other
Shah Nisha .,Other
153070030,Other
08004032 at iitb.ac.in,Other
09310906 at iitb.ac.in,Other
Amit Dhruv Saran,Other
ANKIT KUMAR SRIVASTAVA,Other
Ankush,Other
aruna thosar dixit,Other
D Manjunath,Other
dd.fea.office,Other
Dr Jyoti Prasad Maharana,Other
Dr K Sudhakar,Other
Dr. Jyoti Prasad Maharana,Other
EEOFFICE,Head EE
Hindi Officer,Other
Idea Contest,Other
LT. Vasudeva Madav,Other
m n r Rao,Other
mahajan1411 at iitb.ac.in,Other
manager at iitb.ac.in,Other
Manish Kumar,Other
Ms. Jayati Bandyopadhyay,Other
Nitin Janardan Dalvi,Other
Nitin Pawar,Other
Prof. Abhay Karandikar,Head CC
Prof. C. Amarnath,Other
rahulsn at iitb.ac.in,Other
Raju Waghmare,Other
RAUNAK KUDESIA,Other
Ravi Poovaiah,Other
Rohan Jha,Other
samdani.ganesh at iitb.ac.in,Other
Sidhyesh Ananda Ramugade,Other
Sravan Kumar - MLC,Other
sudhakar,Other
Suparna Mukherji,Other
Surinder Pal Singh,Other
System Admin Staff,Other
venkataramani narayanan,Other
VISHWANATHE SADAVIJAY BASAVAPRAKAS,Other
