"SenderMapped","SenderOriginal","Day","Date","Time","Subject","DD","MM","YYYY","hh","mm","ss","Level2"
"ADean Acad","Associate Dean Academic","Fri",2015-08-28,"12:00:14","[Student-notices] rules and regulations in dealing with academic	malpractices",28,8,2015,"12","00","14","Deans"
"ADean Acad","Associate Dean Academic","Tue",2011-09-13,"19:17:37","[Student-notices] Consolidated list - 'Chronological Day' vs. 'Teaching Timetable' Changes for Autumn Semester 2011-2012",13,9,2011,"19","17","37","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sat",2009-10-10,"21:56:36","[Student-notices] A request pertaining to the remaining academic activities in the Autumn Semester 2009-2010",10,10,2009,"21","56","36","Deans"
"ADean AP","adean.ap at iitb.ac.in","Wed",2010-04-14,"13:18:22","[Student-notices] From General Secretary, Academic (PG) -  Call for Nominations-  Academic Council",14,4,2010,"13","18","22","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2010-07-18,"12:37:11","[Student-notices] Important Notice - Registration and TA Orientation",18,7,2010,"12","37","11","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2010-08-01,"13:21:10","[Student-notices] M Tech/ Dual Degree Dissertation (Project Activity) Registration and Evaluation",1,8,2010,"13","21","10","Deans"
"ADean AP","adean.ap at iitb.ac.in","Mon",2009-02-23,"0:12:17","[Student-notices] Purpose and context - modified schedule for	Masters' dissertations",23,2,2009,"0","12","17","Deans"
"ADean AP","adean.ap at iitb.ac.in","Tue",2010-06-08,"23:38:15","[Student-notices] Academic Notice - Release of Pre-registration	Modules by ASC",8,6,2010,"23","38","15","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2010-08-12,"22:45:53","[Student-notices] For Postgraduate students - Institute Student Companion Programme - Feedback",12,8,2010,"22","45","53","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2009-10-29,"16:10:17","[Student-notices] Clarification - Confirmation of PhD Registration - revised guidelines",29,10,2009,"16","10","17","Deans"
"ADean AP","adean.ap at iitb.ac.in","Fri",2010-09-10,"15:31:35","[Student-notices] Notice pertaining to the release of scholarship	through canara bank",10,9,2010,"15","31","35","Deans"
"ADean AP","adean.ap at iitb.ac.in","Tue",2010-02-09,"23:47:12","[Student-notices] Information on Direct Entry Scheme into	IITB-Monash PhD Programme",9,2,2010,"23","47","12","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2009-08-23,"16:20:29","[Student-notices] Dual Degree M. Tech./ M. Phil. + Ph.D. Programme",23,8,2009,"16","20","29","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2010-08-05,"19:29:14","[Student-notices] Calendar of PhD Annual Progress/ Dissertation/	Project Evaluations",5,8,2010,"19","29","14","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2010-04-01,"21:56:01","[Student-notices] Call for Nominations- PGPC Student Member Nominees",1,4,2010,"21","56","01","Deans"
"ADean AP","adean.ap at iitb.ac.in","Wed",2010-09-08,"12:51:09","[Student-notices] wrong account number being specified for release of assistantship/ scholarship/ finances",8,9,2010,"12","51","09","Deans"
"ADean AP","adean.ap at iitb.ac.in","Tue",2010-04-27,"18:20:10","[Student-notices] Finalized Academic Calendar: Academic Year	2010-2011 + some notes",27,4,2010,"18","20","10","Deans"
"ADean AP","adean.ap at iitb.ac.in","Tue",2009-10-27,"23:09:09","[Student-notices] Confirmation of PhD Registration - revised	guidelines",27,10,2009,"23","09","09","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2009-12-31,"21:31:40","[Student-notices] New Year Greetings and a Resolution to uphold the best academic practices",31,12,2009,"21","31","40","Deans"
"ADean AP","adean.ap at iitb.ac.in","Fri",2009-11-27,"19:17:10","[Student-notices] Interim Consolidated Statement of Academic	Performance -",27,11,2009,"19","17","10","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2010-05-02,"23:17:29","[Student-notices] Academic Disciplinary Action Case students - not to graduate/ register without completing the community service",2,5,2010,"23","17","29","Deans"
"ADean AP","adean.ap at iitb.ac.in","Mon",2009-02-23,"0:05:38","[Student-notices] Modified schedule + administration of M Tech/ M Phil/ Dual Degree Dissertation (Project Activity)",23,2,2009,"0","05","38","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2009-10-04,"22:44:48","[Student-notices] Compensation for teaching days missed due to	Swine Flu Pandemic",4,10,2009,"22","44","48","Deans"
"ADean AP","adean.ap at iitb.ac.in","Tue",2010-05-25,"22:38:14","[Student-notices] For PhD students - Application Form and Rules for	PhD Awards",25,5,2010,"22","38","14","Deans"
"ADean AP","adean.ap at iitb.ac.in","Thu",2010-10-07,"17:34:54","[Student-notices] [Fwd: Updation of canara bank a/c. no.]",7,10,2010,"17","34","54","Deans"
"ADean AP","adean.ap at iitb.ac.in","Mon",2009-08-17,"23:11:01","[Student-notices] First Stage Examination of M Tech/ M Phil/ Dual Degree (B Tech + M Tech) Dissertations",17,8,2009,"23","11","01","Deans"
"ADean AP","adean.ap at iitb.ac.in","Sun",2009-04-26,"20:28:59","[Student-notices] Academic commitments -first stage of M Tech/ M Phil and Dual Degree (B Tech + M Tech) Dissertations",26,4,2009,"20","28","59","Deans"
"ADean AP","adean.ap at iitb.ac.in","Mon",2010-05-17,"18:28:14","[Student-notices] Institute Student Representatives for Masters' and PhD Programmes: 2010-11",17,5,2010,"18","28","14","Deans"
"ADean IPS","adean2.ips at iitb.ac.in","Tue",2010-01-19,"15:50:49","[Student-notices] Dean IPS web site in Hindi version",19,1,2010,"15","50","49","Deans"
"ADean IPS","adean2.ips at iitb.ac.in","Fri",2009-10-23,"18:10:15","[Student-notices] Web site for Dean IPS office",23,10,2009,"18","10","15","Deans"
"ADean IPS","adean2.ips at iitb.ac.in","Thu",2009-05-07,"16:27:48","[Student-notices] IITB road names",7,5,2009,"16","27","48","Deans"
"ADean R&D","Associate Dean (Res. & Dvpt.)","Wed",2009-10-28,"20:23:36","[Student-notices] (no subject)",28,10,2009,"20","23","36","Deans"
"ADean R&D","Associate Dean Research and Development","Tue",2013-02-19,"23:02:24","[Student-notices] IIT Bombay Exhibition Schedule at 6th Science Expo",19,2,2013,"23","02","24","Deans"
"ADean R&D","Associate Dean Research and Development","Fri",2011-01-21,"7:02:12","[Student-notices] 5th Science Expo- IIT Bombay Exhibits Schedule",21,1,2011,"7","02","12","Deans"
"ADean R&D","Associate Dean (Res. & Dvpt.)","Thu",2010-07-15,"19:12:32","[Student-notices] Film - screened for the new entrants",15,7,2010,"19","12","32","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2014-10-02,"21:20:46","[Student-notices] Clarification: (no) hostel accommodation in	December",2,10,2014,"21","20","46","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2014-02-03,"10:30:31","[Student-notices] Summer vacation",3,2,2014,"10","30","31","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2014-07-19,"12:29:21","[Student-notices] notice for unauthorized occupants of hostel rooms and students with backlogs",19,7,2014,"12","29","21","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2014-04-21,"7:55:41","[Student-notices] hostel room retention",21,4,2014,"7","55","41","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2014-11-20,"10:36:32","[Student-notices] AR (HCU)",20,11,2014,"10","36","32","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2014-04-29,"11:11:19","[Student-notices] relocation of PG students from hostels 1-9 to	hostels 1, 12-14",29,4,2014,"11","11","19","Deans"
"ADean SA","Associate Dean (Student Affairs)","Wed",2015-10-21,"19:53:03","[Student-notices] relocation to hostel 10",21,10,2015,"19","53","03","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2014-10-03,"6:43:16","[Student-notices] [Faculty-notices] Clarification: (no) hostel accommodation in December",3,10,2014,"6","43","16","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2015-07-12,"1:16:43","[Student-notices] The elusive single rooms for 2014 batch men PG	students",12,7,2015,"1","16","43","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2014-11-16,"13:48:13","[Student-notices] Vacation of rooms by 28th",16,11,2014,"13","48","13","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2014-04-27,"8:18:46","[Student-notices] Room retention by first year UG students",27,4,2014,"8","18","46","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-04-18,"12:03:24","[Student-notices] The link is up and running",18,4,2015,"12","03","24","Deans"
"ADean SA","Associate Dean (Student Affairs)","Wed",2014-08-13,"21:11:33","[Student-notices] Urgent: B negative blood required",13,8,2014,"21","11","33","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2013-11-23,"20:53:48","[Student-notices] Deadline for Room Retention during the Winter	vacation",23,11,2013,"20","53","48","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-04-18,"5:03:19","[Student-notices] Online form",18,4,2015,"5","03","19","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2015-10-06,"13:02:11","[Student-notices] [Fwd: Re: Request to circulate note to students]",6,10,2015,"13","02","11","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2015-11-27,"20:10:33","[Student-notices] Final room retention",27,11,2015,"20","10","33","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-10-31,"10:24:27","[Student-notices] H10 relocation: last minute entries",31,10,2015,"10","24","27","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2012-02-01,"19:42:26","[Student-notices] Relocation of PG students to Hostels 12 and 14 in	July 2012",1,2,2012,"19","42","26","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2012-06-27,"15:29:32","[Student-notices] Date for shifting from H10 to H11",27,6,2012,"15","29","32","Deans"
"ADean SA","Anindya Datta,","Sat",2010-11-20,"10:22:30","[Student-notices] Tentative list of applicants for transfer to Hostel 14 in January 2011",20,11,2010,"10","22","30","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2014-04-27,"9:10:25","[Student-notices] for final year M.* students and guides",27,4,2014,"9","10","25","Deans"
"ADean SA","Prof. Anindya Datta","Fri",2012-02-17,"14:03:07","[Student-notices] dog menace",17,2,2012,"14","03","07","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2013-09-20,"19:49:23","[Student-notices] Winter vacation for 2nd - 3rd year UGs, M. Sc. students and 1st year M. Tech., M. Des., M. Phil., M. Mgmt. students",20,9,2013,"19","49","23","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2015-01-16,"17:39:46","[Student-notices] Room condition forms",16,1,2015,"17","39","46","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2011-02-08,"2:20:26","[Student-notices] list of students to be transferred to H12/13/14	in July",8,2,2011,"2","20","26","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2014-05-04,"9:31:33","[Student-notices] room retention and vacation",4,5,2014,"9","31","33","Deans"
"ADean SA","Anindya Datta","Fri",2013-07-05,"10:43:29","[Student-notices] Relocation of students from Hostels 10/10A/11 and	9/12 to Hostel 15",5,7,2013,"10","43","29","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2013-09-19,"17:14:26","[Student-notices] Hostel wardens",19,9,2013,"17","14","26","Deans"
"ADean SA","Prof. Anindya Datta","Sun",2011-07-03,"12:16:43","[Student-notices] Attn: H1 residents of 2005 batch and earlier",3,7,2011,"12","16","43","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2013-11-30,"8:24:58","[Student-notices] Fwd: Notification of inter-IIT Camp",30,11,2013,"8","24","58","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2014-12-05,"18:28:32","[Student-notices] Fwd: 8th Dec “Cultural Night” event - email circulation",5,12,2014,"18","28","32","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2014-10-10,"15:59:01","[Student-notices] Reminder: December",10,10,2014,"15","59","01","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2015-07-12,"9:00:38","[Student-notices] Inspection of new hostel 10: Today from 11:00 AM	to 1:00 PM",12,7,2015,"9","00","38","Deans"
"ADean SA","Hcu.chair","Thu",2013-01-10,"0:17:45","[Student-notices] Addendum",10,1,2013,"0","17","45","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2015-06-15,"20:12:04","[Student-notices] [Fwd: Please avoid using gymkhana Grounds during	monsoon]",15,6,2015,"20","12","04","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2011-01-25,"21:27:40","[Student-notices] Reminder: Hostel transfer: July 2011",25,1,2011,"21","27","40","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2015-10-08,"19:16:04","[Student-notices] transfer to Tansa",8,10,2015,"19","16","04","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-10-31,"6:11:48","[Student-notices] Non-messing fees",31,10,2015,"6","11","48","Deans"
"ADean SA","Prof. Anindya Datta","Fri",2011-12-30,"1:54:30","[Student-notices] Clarification: unannounced guests",30,12,2011,"1","54","30","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2014-04-14,"21:59:17","[Student-notices] Extension of deadline for room retention",14,4,2014,"21","59","17","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2015-10-15,"14:37:35","[Student-notices] relocation of students from Hostels 10, 11 and 15C to single rooms in Hostel 10",15,10,2015,"14","37","35","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2013-08-20,"11:14:43","[Student-notices] Permitted period of stay of guests",20,8,2013,"11","14","43","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2013-02-28,"12:23:52","[Student-notices] Transfer to single rooms in Hostels 1, 12,	13 and 14",28,2,2013,"12","23","52","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2015-04-17,"11:17:08","[Student-notices] Deadline for summer stay is TODAY (Friday): NO	EXTENSION",17,4,2015,"11","17","08","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-06-27,"22:56:51","[Student-notices] FW: relocation of Ph. D., M. Des., M. Mgmt., M. Phil. and M. Tech. students in July",27,6,2015,"22","56","51","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2011-06-30,"22:34:33","[Student-notices] Internal transfers of H12, 13 and 14",30,6,2011,"22","34","33","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2011-02-22,"12:15:34","[Student-notices] Accommodation for department festivals",22,2,2011,"12","15","34","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2014-12-09,"16:25:54","[Student-notices] Guest rules",9,12,2014,"16","25","54","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2013-03-14,"10:04:03","[Student-notices] Notice for vacation of hostel rooms",14,3,2013,"10","04","03","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2013-01-10,"8:16:33","[Student-notices] Online form for Hostels 10, 11 and C type quarters",10,1,2013,"8","16","33","Deans"
"ADean SA","Prof. Anindya Datta","Mon",2013-01-28,"17:15:07","[Student-notices] Hostel 10A (QIP) allotment: corrected message",28,1,2013,"17","15","07","Deans"
"ADean SA","Associate Dean (Student Affairs)","Wed",2014-01-15,"18:36:01","[Student-notices] relocation to single rooms in July",15,1,2014,"18","36","01","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2011-11-08,"15:46:54","[Student-notices] Reminder: Semester mess advance and Registration",8,11,2011,"15","46","54","Deans"
"ADean SA","Prof. Anindya Datta","Mon",2013-02-04,"13:11:34","[Student-notices] Fwd: Wireless connection settings links",4,2,2013,"13","11","34","Deans"
"ADean SA","Prof. Anindya Datta","Sat",2011-11-12,"20:17:13","[Student-notices] penalty for unauthorized use of mess",12,11,2011,"20","17","13","Deans"
"ADean SA","Anindya Datta","Thu",2013-06-13,"16:48:58","[Student-notices] H15 wing for women students",13,6,2013,"16","48","58","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2012-01-19,"20:10:22","[Student-notices] Guest Accomodation Booking System up and running",19,1,2012,"20","10","22","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sun",2014-04-27,"9:28:34","[Student-notices] 10th July, not June",27,4,2014,"9","28","34","Deans"
"ADean SA","Prof. Anindya Datta","Mon",2013-01-28,"17:11:41","[Student-notices] Hostel 10A (QIP) allotment",28,1,2013,"17","11","41","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2013-01-09,"22:37:35","[Student-notices] Relocation of students residing in Hostels 10, 11 and C type quarters",9,1,2013,"22","37","35","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2015-09-25,"18:09:12","[Student-notices] a small modification",25,9,2015,"18","09","12","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2011-12-29,"22:32:06","[Student-notices] unannounced guests",29,12,2011,"22","32","06","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2015-10-27,"22:48:56","[Student-notices] FW: Relocation to hostel 10]: the deadline is	extended by a day",27,10,2015,"22","48","56","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2014-09-30,"21:25:22","[Student-notices] No accommodation in December",30,9,2014,"21","25","22","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2015-05-12,"10:06:21","[Student-notices] Attendance and CH 105 summer course",12,5,2015,"10","06","21","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2014-09-22,"23:53:16","[Student-notices] No accommodation during winter break",22,9,2014,"23","53","16","Deans"
"ADean SA","Prof. Anindya Datta","Thu",2011-01-06,"18:08:57","[Student-notices] last call for H14",6,1,2011,"18","08","57","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2015-07-14,"23:31:59","[Student-notices] Married students: HRA and right to refusal",14,7,2015,"23","31","59","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2016-04-14,"21:33:50","[Student-notices] Room vacation/retention for summer",14,4,2016,"21","33","50","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2013-01-15,"5:58:38","[Student-notices] Reminder and clarification: Online form for Hostels 10, 11 and C type quarters",15,1,2013,"5","58","38","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2015-04-06,"21:57:12","[Student-notices] Hostel accommodation for summer: Online form",6,4,2015,"21","57","12","Deans"
"ADean SA","Prof. Anindya Datta","Mon",2012-01-30,"23:29:31","[Student-notices] Notice for 3rd year B. Tech. and 4th year DD/ Integrated M. Sc. students",30,1,2012,"23","29","31","Deans"
"ADean SA","Prof. Anindya Datta","Sat",2012-11-24,"8:24:25","[Student-notices] relocation of students to QIP building",24,11,2012,"8","24","25","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2013-09-12,"19:22:16","[Student-notices] Winter vacation for 1st year UG students",12,9,2013,"19","22","16","Deans"
"ADean SA","Associate Dean (Student Affairs)","Wed",2014-12-03,"23:42:07","[Student-notices] Norms for stay after Ph. D. viva",3,12,2014,"23","42","07","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2015-01-26,"20:18:40","[Student-notices] FW: Curtain Raiser - Roots Spicmacay International Convention 27th January-6 PM-Convo Hall",26,1,2015,"20","18","40","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2012-11-28,"12:56:52","[Student-notices] Partial modification: relocation of students to	QIP building",28,11,2012,"12","56","52","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-08-15,"10:13:07","[Student-notices] Mess defaulters",15,8,2015,"10","13","07","Deans"
"ADean SA","hcu.chair at iitb.ac.in","Wed",2010-10-20,"21:04:15","[Student-notices] unannounced guests",20,10,2010,"21","04","15","Deans"
"ADean SA","Prof. Anindya Datta","Fri",2010-12-24,"18:08:18","[Student-notices] [Fwd: Short term Project students and	Departmental Festivals]",24,12,2010,"18","08","18","Deans"
"ADean SA","Associate Dean (Student Affairs)","Sat",2015-05-09,"9:05:51","[Student-notices] Unauthorised stay in hostels",9,5,2015,"9","05","51","Deans"
"ADean SA","Anindya Datta","Tue",2013-05-14,"14:24:27","[Student-notices] Graduating Dual Degree Students and definition of	""a month""",14,5,2013,"14","24","27","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2011-01-05,"23:40:33","[Student-notices] Urgent notice for H14 residents",5,1,2011,"23","40","33","Deans"
"ADean SA","Prof. Anindya Datta","Mon",2011-07-18,"16:16:54","[Student-notices] Urgent for students: Allowing online registration against undertaking",18,7,2011,"16","16","54","Deans"
"ADean SA","Associate Dean (Student Affairs)","Wed",2015-04-15,"11:54:07","[Student-notices] hostel accommodation for summer courses",15,4,2015,"11","54","07","Deans"
"ADean SA","Associate Dean (Student Affairs)","Tue",2014-05-06,"0:31:43","[Student-notices] Notice for 2013 batch UG students staying in Hostel 15 and new wing of Hostel 4",6,5,2014,"0","31","43","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2011-07-27,"15:17:42","[Student-notices] reallotment of hostels for some first year M. Sc. students and backloggers",27,7,2011,"15","17","42","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2015-10-30,"19:34:34","[Student-notices] Allocation of rooms in Hostel 10",30,10,2015,"19","34","34","Deans"
"ADean SA","Associate Dean (Student Affairs)","Fri",2013-09-20,"23:04:01","[Student-notices] Correction: winter vacation for 2nd year M. Sc. And integrated M. Sc. -Ph. D. Students",20,9,2013,"23","04","01","Deans"
"ADean SA","Prof. Anindya Datta","Wed",2011-08-10,"3:00:20","[Student-notices] cooking in rooms and swapping of rooms",10,8,2011,"3","00","20","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2016-04-21,"0:51:07","[Student-notices] Room retention portal",21,4,2016,"0","51","07","Deans"
"ADean SA","Associate Dean (Student Affairs)","Thu",2014-07-03,"17:47:25","[Student-notices] notice for 2013 batch students relocating to	hostel 14",3,7,2014,"17","47","25","Deans"
"ADean SA","Prof. Anindya Datta","Fri",2010-12-03,"6:33:57","[Student-notices] final list and 2010 batch M. Sc. students",3,12,2010,"6","33","57","Deans"
"ADean SA","Prof. Anindya Datta","Tue",2013-01-29,"23:55:30","[Student-notices] H10A (QIP building) allotment plan and procedure",29,1,2013,"23","55","30","Deans"
"ADean SA","Associate Dean (Student Affairs)","Mon",2015-04-06,"22:10:14","[Student-notices] [Notice sent to faculty: Hostel accommodation for summer: Online form approval]",6,4,2015,"22","10","14","Deans"
