SenderOriginal,SenderMapped,Day,Date,Time,Year,Subject
gsecaaug at iitb.ac.in,GSAA,Sat,23-Apr,1:14:01,2016,"[Student-notices] [Important] Summer Backlog Courses,	Branch Change Form"
gsecaaug at iitb.ac.in,GSAA,Sat,23-Apr,1:14:00,2016,"[Student-notices] [Important] Summer Backlog Courses,	Branch Change Form"
General Secretary Academic Affairs  PG,GSAA PG,Fri,22-Apr,20:48:56,2016,[Student-notices] Marathi Learning Classes : Call for volunteers and Content for Participants
Librarian IIT Bombay,Librarian,Fri,22-Apr,14:27:45,2016,[Student-notices] Return of books issued from the Special Collection ( Book Bank ) (BC/TLL)
Librarian IIT Bombay,Librarian,Fri,22-Apr,14:24:34,2016,[Student-notices] Issue of books for the Summer  Vacation
PRO IIT Bombay,PRO,Fri,22-Apr,9:35:04,2016,[Student-notices] Reminder - Prof. C.N.R. Rao Lecture Series on Nanoscience and Nanotechnology today
Executive Electrical,Executive Electrical,Thu,21-Apr,12:33:09,2016,"[Student-notices] POWER SHUTDOWN NOTICE OF LECTURE HALL COMPLEX-L-1,	L-2, L-3"
Dean Student Affairs,Dean SA,Thu,21-Apr,9:36:49,2016,[Student-notices] URGENT - First Years UG-s must go on vacation
PRO IIT Bombay,PRO,Thu,21-Apr,9:33:44,2016,"[Student-notices] Invite: Professor C.N.R. Rao Lecture Series on Nanoscience and Nanotechnology, on April 22, 2016"
Gen. Sec. Academic Affairs  (UG),GSAA,Thu,21-Apr,0:56:32,2016,"[Student-notices] Call for NSS Educational Volunteers for Summer	2016"
Associate Dean (Student Affairs),ADean SA,Thu,21-Apr,0:51:07,2016,[Student-notices] Room retention portal
Professor Incharge sine,PIC Sine,Wed,20-Apr,17:16:08,2016,[Student-notices] Kalpana 2016
General Secretary Academic Affairs  PG,GSAA PG,Wed,20-Apr,2:03:51,2016,"[Student-notices] Inviting Concerns of Differently-abled students	in our Campus"
General Secretary Academic Affairs  PG,GSAA PG,Wed,20-Apr,1:42:03,2016,[Student-notices] Research Scholars Forum: Application invited for the post of RSF- Dr. (Department Representative)
GS Sports,GS Sports,Tue,19-Apr,21:56:03,2016,[Student-notices] Maintenance of Football field
General Secretary Academic Affairs  PG,GSAA PG,Mon,18-Apr,17:37:38,2016,[Student-notices] Requesting Workshop and Conference organizers for Information Disseminations about their conferences
Gen. Sec. Academic Affairs  (UG),GSAA,Mon,18-Apr,0:51:54,2016,[Student-notices] Call for NSS Nursery Volunteers for Summer 2016
"General Secretary, Cultural Affairs",GS Cult,Sun,17-Apr,20:55:30,2016,"[Student-notices] Pre-Registrations for ""Summer School of Cult"" | Deadline: 25th April"
GS Sports,GS Sports,Sat,16-Apr,23:32:26,2016,"[Student-notices] Reminder|| Austria Cycling Tour || 23rd May to	29th May"
General Secretary Hostel Affairs,GSHA,Sat,16-Apr,13:49:48,2016,[Student-notices] Extended Timings for Eateries and Xerox Shops for End Semester Examinations
Gen. Sec. Academic Affairs  (UG),GSAA,Fri,15-Apr,18:22:49,2016,[Student-notices] [Reminder]Course Feedback
General Secretary Hostel Affairs,GSHA,Fri,15-Apr,16:18:22,2016,[Student-notices] Counselling available in Institute
General Secretary Academic Affairs  PG,GSAA PG,Fri,15-Apr,14:07:45,2016,"[Student-notices] Information regarding Grievance Portal to solve	your issues"
General Secretary Academic Affairs  PG,GSAA PG,Fri,15-Apr,14:07:32,2016,"[Student-notices] Information regarding Grievance Portal to solve	your issues"
IITB Mailing List Manager,Mailman,Fri,15-Apr,6:00:02,2016,"[Student-notices] Methodology for getting/setting mailing list	passwords"
General Secretary Academic Affairs  PG,GSAA PG,Fri,15-Apr,4:27:58,2016,"[Student-notices] Marathi Learning Classes : Finalized on 3, 4,	5 May from 6pm to 8pm"
General Secretary Academic Affairs  PG,GSAA PG,Fri,15-Apr,4:02:23,2016,[Student-notices] PGAC 2016-17: AURAA (M.Tech) Results and Inviting remaining department students for AURAA Post
STAB Overall Coordinator,GS Tech,Fri,15-Apr,0:15:14,2016,"[Student-notices] Kalpana - prototyping,	fabrication and poster making competition"
Associate Dean (Student Affairs),ADean SA,Thu,14-Apr,21:33:50,2016,[Student-notices] Room vacation/retention for summer
General Secretary Academic Affairs  PG,GSAA PG,Thu,14-Apr,20:47:22,2016,"[Student-notices] Inviting Nominations for ""AURAA post (PhD Students) in PG Academic Council"
General Secretary Academic Affairs  PG,GSAA PG,Thu,14-Apr,20:44:49,2016,"[Student-notices] Inviting Nominations for PG Academic Council ""AURAA post (PhD Students)"
General Secretary Academic Affairs  PG,GSAA PG,Thu,14-Apr,18:14:11,2016,"[Student-notices] Inviting suggestions in Conference Funding	Reimbursement"
Executive Electrical,Executive Electrical,Thu,14-Apr,17:41:28,2016,"[Student-notices] Power Shut down notice (New computer science	building near Kresit)"
GS Sports,GS Sports,Wed,13-Apr,18:46:11,2016,[Student-notices] Badminton court booking
Deputy Registrar Academic,DRegistrar,Wed,13-Apr,16:47:13,2016,[Student-notices] Circular for Payment of fees by UG Students for the Autumn Semester 2016-17
Director IIT Bombay,Director,Wed,13-Apr,15:00:17,2016,[Student-notices] [Fwd: Condolence meeting]
Office Dean SA,Dean SA,Wed,13-Apr,14:42:48,2016,"[Student-notices] Gymkhana facilities are closed for users on Thursday, 14th April, 2016"
Librarian IIT Bombay,Librarian,Wed,13-Apr,14:33:32,2016,[Student-notices] Central Library will remain open till 1.00 A.M. during 14th April 2016to 29th April 2016(End-semester examinations).
PRO IIT Bombay,PRO,Wed,13-Apr,10:18:02,2016,"[Student-notices] Reminder - Institute Colloquium on April 13, 2016"
"General Secretary, Cultural Affairs",GS Cult,Wed,13-Apr,2:40:42,2016,"[Student-notices] Screening of movie ""DR. Babasaheb Ambedkar"" | 5:00 PM, 15th April | LT-PCSA"
GS Sports,GS Sports,Wed,13-Apr,2:30:56,2016,[Student-notices] Austria Cycling Tour || 23rd May to 29th May
Associate Dean Academic,ADean Acad,Tue,12-Apr,21:57:49,2016,"[Student-notices] [Fwd: Request to circulate notice to all students, for TAship under IITBombayX]"
Associate Dean Academic,ADean Acad,Tue,12-Apr,16:47:51,2016,[Student-notices] [Fwd: Call for Applications: RAMAN-CHARPAK PhD FELLOWSHIP is open for 2016 !]
Gen. Sec. Academic Affairs  (UG),GSAA,Tue,12-Apr,15:48:47,2016,"[Student-notices] Study rooms for EndSems and Course Feedback	Deadline"
Office Dean ACR,Dean ACR,Tue,12-Apr,15:48:13,2016,"[Student-notices] [Final-Call, UG Freshmen] Nominations for Alumni Student Mentorship Program (ASMP) Team Member, SARC"
Security Officer,CSO,Tue,12-Apr,11:12:00,2016,[Student-notices] Lost & Found
Security Officer,CSO,Tue,12-Apr,10:27:41,2016,[Student-notices] Lost & Found - BANK CARD
PRO IIT Bombay,PRO,Tue,12-Apr,9:58:47,2016,"[Student-notices] Reminder - Institute Distinguished Lecture in Chemical Engineering (in memory of Professor K.C. Khilar) on April 12, 2016."
General Secretary Academic Affairs  PG,GSAA PG,Tue,12-Apr,3:03:22,2016,[Student-notices] Inviting Nominations for remaining posts in PG Academic Council 2016-17
Gen. Sec. Academic Affairs  (UG),GSAA,Mon,11-Apr,21:23:50,2016,"[Student-notices] Summer Undergraduate Research Program (SURP)	Launch"
STAB Overall Coordinator,GS Tech,Mon,11-Apr,20:37:48,2016,"[Student-notices] Results | IITB Racing | Freshmen Summer Induction	Program"
General Secretary Academic Affairs  PG,GSAA PG,Mon,11-Apr,19:54:44,2016,"[Student-notices] Research Scholars Forum : Overall Coordinator	2016-17"
General Secretary Academic Affairs  PG,GSAA PG,Mon,11-Apr,15:21:54,2016,"[Student-notices] Introducing ""Amit Goyal"" as Institute Doctoral Representative (IDR), and ""Pranav Lad"" as Executive Member (EM-Doctoral wing), PGAC 2016-17]"
PRO IIT Bombay,PRO,Mon,11-Apr,14:46:25,2016,[Student-notices] Gentle Reminder: CAMPUS DIARY: March-April 2016
Registrar IIT Bombay,Registrar,Mon,11-Apr,13:41:28,2016,"[Student-notices] Declaration of holiday on 14th April, 2016 on account of the Birth Anniversary of Dr. B.R. Ambedkar."
Deputy Registrar Academic,DRegistrar,Mon,11-Apr,12:09:13,2016,[Student-notices] Course Evaluation
Deputy Registrar Academic,DRegistrar,Mon,11-Apr,11:25:33,2016,[Student-notices] Circular for Dr. Shankar Dayal Sharma Gold Medal for the year 2015-2016: Attention to all graduating students
GS Sports,GS Sports,Mon,11-Apr,9:24:45,2016,[Student-notices] Trials for Summer Training camp || Boys
GS Sports,GS Sports,Mon,11-Apr,9:18:58,2016,[Student-notices] Girls Summer Training Camp || Squash and Aquatics
STAB Overall Coordinator,GS Tech,Sun,10-Apr,14:54:44,2016,[Student-notices] Reminder: Gravitational Waves Public Lecture
General Secretary Academic Affairs  PG,GSAA PG,Sun,10-Apr,10:57:05,2016,"[Student-notices] Introducing ""Shubham Chakraborty"" as Institute Masters Representative (IMR), PGAC 2016-17"
General Secretary Academic Affairs  PG,GSAA PG,Sat,09-Apr,20:48:50,2016,[Student-notices] Change of Eligibility of Gymkhana Post for Research Scholars to 1 semester
Gen. Sec. Academic Affairs  (UG),GSAA,Sat,09-Apr,19:44:07,2016,[Student-notices] Invitation to the Inauguration of NSS Nursery
GS Sports,GS Sports,Sat,09-Apr,0:57:28,2016,[Student-notices] Swimmathon || 29th april || 6:30 PM onwards
GS Sports,GS Sports,Sat,09-Apr,0:46:31,2016,[Student-notices] PG-Sports Felicitation Ceremony
Gen. Sec. Academic Affairs  (UG),GSAA,Fri,08-Apr,21:24:22,2016,[Student-notices] Reminder and FAQs of Blood Donation
gsecaaug at iitb.ac.in,GSAA,Fri,08-Apr,18:30:45,2016,[Student-notices] Session on Education Abroad
Gen. Sec. Academic Affairs  (UG),GSAA,Fri,08-Apr,12:16:59,2016,[Student-notices] Courseinfo Session
General Secretary Hostel Affairs,GSHA,Thu,07-Apr,21:14:07,2016,[Student-notices] Abhyuday | Social Initiative to help Farmers | Fruit at your Doorstep
Director IIT Bombay,Director,Thu,07-Apr,20:26:46,2016,[Student-notices] Condolence meeting
General Secretary Academic Affairs  PG,GSAA PG,Thu,07-Apr,19:43:47,2016,"[Student-notices] PoR (position of responsibility ) session :	slides and Videos"
PRO IIT Bombay,PRO,Thu,07-Apr,18:51:57,2016,"[Student-notices] Invite - Institute Colloquium on April 13, 2016"
General Secretary Hostel Affairs,GSHA,Thu,07-Apr,17:56:00,2016,[Student-notices] E-Cell Coordinators’ Meet | 7th April | 06:30 PM | OAT
General Secretary Hostel Affairs,GSHA,Thu,07-Apr,17:53:59,2016,[Student-notices] (no subject)
Executive Electrical,Executive Electrical,Thu,07-Apr,16:58:47,2016,"[Student-notices] Revised Power Shut down notice (I C Engine, Hydraulic PG/UG lab etc)]"
Office Dean ACR,Dean ACR,Thu,07-Apr,16:52:09,2016,[Student-notices] Institute Yearbook 2016
Executive Electrical,Executive Electrical,Thu,07-Apr,16:25:00,2016,[Student-notices] POWER SHUTDOWN NOTICE OF MECHANICAL ENGG DEPT
Executive Electrical,Executive Electrical,Thu,07-Apr,16:14:51,2016,"[Student-notices] Power Shut down notice (I C Engine,	Hydraulic PG/UG lab etc)"
Office Dean ACR,Dean ACR,Thu,07-Apr,15:47:59,2016,[Student-notices] Extension of deadline for nominations invited for Alumni Secretaries
Office Dean SA,Dean SA,Thu,07-Apr,12:37:11,2016,[Student-notices] Cultural Exchange Programme
STAB Overall Coordinator,GS Tech,Thu,07-Apr,12:35:01,2016,[Student-notices] [Reminder] Tinkerers' Lab Foundation Day
Office Dean SA,Dean SA,Thu,07-Apr,11:59:49,2016,"[Student-notices] Swimming pool closed for members on 8th, 9th (Evening session) &10 April, 2016"
General Secretary Academic Affairs  PG,GSAA PG,Thu,07-Apr,11:18:37,2016,"[Student-notices] Gentle Reminder: GRA Summer Camp 2016 to Jhabua,	Madhya Pradesh"
STAB Overall Coordinator,GS Tech,Thu,07-Apr,11:16:06,2016,[Student-notices] IEEE Young Humanitarian Challenge
STAB Overall Coordinator,GS Tech,Thu,07-Apr,11:09:04,2016,[Student-notices] (no subject)
General Secretary Academic Affairs  PG,GSAA PG,Thu,07-Apr,10:36:20,2016,"[Student-notices] Inviting peoples opinion on Timings for ""Marathi	Learning Classes"""
General Secretary Academic Affairs  PG,GSAA PG,Thu,07-Apr,9:03:32,2016,[Student-notices] Blood Donation Camp on 9th April
General Secretary Academic Affairs  PG,GSAA PG,Thu,07-Apr,8:50:20,2016,"[Student-notices] Gentle Reminder: Call for nominations for Student Companion, ISCP 2016-17"
"Professor-In-Charge, Placement",PIC Placements,Thu,07-Apr,3:09:22,2016,[Student-notices] Company Coordinator Nomination for undergraduates
General Secretary Hostel Affairs,GSHA,Wed,06-Apr,23:04:52,2016,[Student-notices] E-Cell Coordinators’ Meet | 7th April |06:30 PM | OAT
Gen. Sec. Academic Affairs  (UG),GSAA,Wed,06-Apr,22:14:49,2016,[Student-notices] Blood Donation Camp
Gen. Sec. Academic Affairs  (UG),GSAA,Wed,06-Apr,21:55:00,2016,[Student-notices] Finance Club: Financial Planning Workshop
Security Officer,CSO,Wed,06-Apr,17:50:46,2016,[Student-notices] REGARDING CAMPUS SECURITY
PRO IIT Bombay,PRO,Wed,06-Apr,16:45:20,2016,"[Student-notices] Invite - Institute Distinguished Lecture in Chemical Engineering (in memory of Professor K.C. Khilar) on April 12, 2016."
General Secretary Academic Affairs  PG,GSAA PG,Wed,06-Apr,16:37:16,2016,"[Student-notices] Gentle Reminder for ""Marathi Learning Classes""	and Welcome Message"
STAB Overall Coordinator,GS Tech,Wed,06-Apr,14:35:15,2016,[Student-notices] Tinkerers’ Lab Foundation Day Celebration
STAB Overall Coordinator,GS Tech,Wed,06-Apr,12:01:47,2016,[Student-notices] Kickstart session of IEEE student chapter [Note change in venue]
Office Dean SA,Dean SA,Wed,06-Apr,10:54:09,2016,[Student-notices] Mood Indigo Notice
STAB Overall Coordinator,GS Tech,Wed,06-Apr,4:36:23,2016,[Student-notices] [TL Talk] : Discussion on the Bhopal Gas Tragedy- An Overview of Chemical Industries
GS Sports,GS Sports,Tue,05-Apr,23:49:48,2016,"[Student-notices] Kayaking || Water Sports Event || Registrations	today"
Gen. Sec. Academic Affairs  (UG),GSAA,Tue,05-Apr,22:27:50,2016,"[Student-notices] Call for Nominations- Manager and Conveners,	Samwad, 2016-17"
Gen. Sec. Academic Affairs  (UG),GSAA,Tue,05-Apr,18:56:02,2016,[Student-notices] Nominations for Career Cell Clubs - Conveners
Office Dean ACR,Dean ACR,Tue,05-Apr,16:23:20,2016,[Student-notices] Nominations invited for Alumni Secretaries
STAB Overall Coordinator,GS Tech,Tue,05-Apr,14:33:56,2016,[Student-notices] Energy Club - ITSP Projects
GS Sports,GS Sports,Tue,05-Apr,14:05:17,2016,"[Student-notices] Health, Yoga and Lifestyle management"
GS Sports,GS Sports,Tue,05-Apr,14:02:12,2016,[Student-notices] Booking of Badminton Courts
STAB Overall Coordinator,GS Tech,Tue,05-Apr,13:20:35,2016,[Student-notices] Kickstart session of IEEE student chapter
STAB Overall Coordinator,GS Tech,Tue,05-Apr,13:18:03,2016,[Student-notices] Talk on Machine Learning by Walmart Labs
Office of Dean International Relations,Dean IR,Tue,05-Apr,11:23:17,2016,[Student-notices] [Fwd: Call for Charpak Exchange Program 2016]
GS Sports,GS Sports,Mon,04-Apr,16:34:18,2016,[Student-notices] Deadline extended || Call for Nominations || Dark Knight Club & Rubik's Cube Club || Managers
GS Sports,GS Sports,Mon,04-Apr,16:02:04,2016,[Student-notices] Foodie Ride || Cycling Club || 9th April
Office Dean Academic,Dean Acad,Mon,04-Apr,14:32:41,2016,[Student-notices] Reminder:IIT Master Sandwich Programme 2016/17
Office Dean Academic,Dean Acad,Mon,04-Apr,14:29:23,2016,[Student-notices] Reminder:IIT Master Sandwich Programme 2016/17
STAB Overall Coordinator,GS Tech,Mon,04-Apr,13:52:45,2016,[Student-notices] Wishlist for Tinkerers' Lab [Ignore previous]
STAB Overall Coordinator,GS Tech,Mon,04-Apr,13:36:25,2016,"[Student-notices] Wishlist for Tinkerers' Lab : Build your own at	Ilum!"
Gen. Sec. Academic Affairs  (UG),GSAA,Mon,04-Apr,13:36:04,2016,"[Student-notices] GRA : Summer Camp - 2016 to Jhabua, Madhya Pradesh"
General Secretary Hostel Affairs,GSHA,Mon,04-Apr,13:30:04,2016,[Student-notices] Reminder : Techfest Coordinators’ Meet | 4th April |08:00 PM | OAT
GS Sports,GS Sports,Mon,04-Apr,2:29:43,2016,[Student-notices] Kayaking || Water Sports Event || 8th april
STAB Overall Coordinator,GS Tech,Mon,04-Apr,0:44:48,2016,"[Student-notices] Sign up as an ITSP Mentor,	learn from your padawan!"
STAB Overall Coordinator,GS Tech,Mon,04-Apr,0:44:48,2016,"[Student-notices] Sign up as an ITSP Mentor,	learn from your padawan!"
General Secretary Academic Affairs  PG,GSAA PG,Sun,03-Apr,20:52:23,2016,"[Student-notices] Call for nominations for Student Companion,	ISCP 2016-17]"
General Secretary Academic Affairs  PG,GSAA PG,Sun,03-Apr,20:52:18,2016,"[Student-notices] Call for nominations for Student Companion,	ISCP 2016-17]"
General Secretary Academic Affairs  PG,GSAA PG,Sun,03-Apr,20:51:19,2016,"[Student-notices] Call for nominations for Student Companion,	ISCP 2016-17]"
"General Secretary, Cultural Affairs",GS Cult,Sun,03-Apr,16:11:08,2016,[Student-notices] Reminder : Institute General Body Meetings
General Secretary Academic Affairs  PG,GSAA PG,Sun,03-Apr,13:38:04,2016,"[Student-notices] PG Academic Council 2016-17: Welcome Message and First Event ""Marathi Learning Classes"""
Gen. Sec. Academic Affairs  (UG),GSAA,Sat,02-Apr,22:39:51,2016,[Student-notices] Abhyasika: Call for Teaching Volunteers
General Secretary Academic Affairs  PG,GSAA PG,Sat,02-Apr,22:26:42,2016,[Student-notices] Congratulations! ISCP Overall Coordinators 2016-17
General Secretary Hostel Affairs,GSHA,Sat,02-Apr,17:16:43,2016,[Student-notices] Techfest Coordinators’ Meet | 4th April |08:00 PM | OAT
GS Sports,GS Sports,Sat,02-Apr,13:38:13,2016,"[Student-notices] Call for Nominations || Dark Knight Club &	Rubik's Cube Club || Managers"
GS Sports,GS Sports,Sat,02-Apr,4:13:57,2016,"[Student-notices] IITB Open Mumbai Sports Tournament || 2nd-3rd	April"
STAB Overall Coordinator,GS Tech,Sat,02-Apr,1:29:40,2016,[Student-notices] Tech General Champions 2015-16
"General Secretary, Cultural Affairs",GS Cult,Sat,02-Apr,1:25:59,2016,[Student-notices] PAF 2016 Results
GS Sports,GS Sports,Fri,01-Apr,21:40:12,2016,[Student-notices] Yoga Sessions || Change in schedule
GS Sports,GS Sports,Fri,01-Apr,19:11:12,2016,[Student-notices] Booking of Badminton Hall || Drona Mentorship
"General Secretary, Cultural Affairs",GS Cult,Fri,01-Apr,18:11:35,2016,[Student-notices] Cultural General Championship
Executive Electrical,Executive Electrical,Fri,01-Apr,18:03:02,2016,"[Student-notices] Power Shut down notice (I C Engine,N1-bay)"
PRO IIT Bombay,PRO,Fri,01-Apr,17:24:42,2016,"[Student-notices] Reminder - Second Lecture of the ""Institute Lecture Series on the Indian Constitution"" on April 2, 2016"
"General Secretary, Cultural Affairs",GS Cult,Fri,01-Apr,17:08:26,2016,[Student-notices] Gymkhana Awards Recipients 2015-16
GS Sports,GS Sports,Fri,01-Apr,16:48:00,2016,[Student-notices] El Clasico Live Screening || 2nd April
Gen. Sec. Academic Affairs  (UG),GSAA,Fri,01-Apr,15:47:56,2016,[Student-notices] Updated GBM schedule
GS Sports,GS Sports,Fri,01-Apr,15:17:09,2016,"[Student-notices] Invitation for Institute Sports Awards || Today,	10:15pm"
STAB Overall Coordinator,GS Tech,Fri,01-Apr,13:35:09,2016,[Student-notices] ITSP Brainstorming
GS Sports,GS Sports,Fri,01-Apr,13:03:44,2016,[Student-notices] Swimmathon 2016 || Postponed to 9th April
Office Dean SA,Dean SA,Fri,01-Apr,12:31:31,2016,[Student-notices] Annual 32nd Summer Swimming Coaching Camps - 2016
"General Secretary, Cultural Affairs",GS Cult,Fri,01-Apr,7:33:02,2016,"[Student-notices] Reminder : PAF #3 - 'Muntazir' by Hostels 3, 6, 8, 11, 12, 15B || 1st April | 8:00 PM | OAT, SAC"
"General Secretary, Cultural Affairs",GS Cult,Fri,01-Apr,7:31:12,2016,"[Student-notices] Reminder : Students' Gymkhana Award Ceremony 2015-16 | 10 PM, 1st April, Convocation Hall"
IITB Mailing List Manager,Mailman,Fri,01-Apr,6:00:01,2016,"[Student-notices] Methodology for getting/setting mailing list	passwords"
STAB Overall Coordinator,GS Tech,Thu,31-Mar,22:19:43,2016,"[Student-notices] General Secretary for Technical Affairs (GSTech)	IITB"
General Secretary Hostel Affairs,GSHA,Thu,31-Mar,19:46:22,2016,[Student-notices] Security Policy
Office Dean SA,Dean SA,Thu,31-Mar,18:14:18,2016,[Student-notices] Stress Management Workshop for PhD Students
PRO IIT Bombay,PRO,Thu,31-Mar,17:14:45,2016,[Student-notices] CAMPUS DIARY: March-April 2016
Office Dean Academic,Dean Acad,Thu,31-Mar,16:58:38,2016,[Student-notices] Reminder : [1st year UGs] ISMP Mentor Feedback
General Secretary Hostel Affairs,GSHA,Thu,31-Mar,14:30:09,2016,[Student-notices] Valedictory functions - Schedule
Office Dean Academic,Dean Acad,Thu,31-Mar,11:00:57,2016,[Student-notices] A survey form regarding E-banking
GS Sports,GS Sports,Wed,30-Mar,22:31:20,2016,[Student-notices] IIT Bombay Athletics Gala || Registrations Open
GS Sports,GS Sports,Wed,30-Mar,20:04:34,2016,"[Student-notices] India Vs West Indies WT20 Semi Finals || Live	Screening"
Office Dean Academic,Dean Acad,Wed,30-Mar,18:11:05,2016,[Student-notices] KIIF Internship Programme at Kerala
Security Officer,CSO,Wed,30-Mar,16:50:17,2016,"[Student-notices] Vehicle without IITB Sticker parked for a long	time"
GS Academics (UG),GSAA,Wed,30-Mar,16:38:15,2016,[Student-notices] English Communications Course in Summers
STAB Overall Coordinator,GS Tech,Wed,30-Mar,14:55:39,2016,[Student-notices] Institute Technical Summer Projects: Orientation
STAB Overall Coordinator,GS Tech,Wed,30-Mar,13:49:07,2016,[Student-notices] Computational neuroscience || Bio-enthu talks
GS Academics (UG),GSAA,Wed,30-Mar,12:32:02,2016,"[Student-notices] Finance Club Session - Investment Banking and	Fixed Income"
GS Sports,GS Sports,Wed,30-Mar,11:48:54,2016,[Student-notices] [Reminder]- Open Triathlon || 30th March
